Time(s),KS_voltage(V),Pressure_voltage(V)
0.47499999,1.4956938982,0.20712352
0.47599999,1.52588274956,0.20712352
0.47699999,1.4827448349,0.20712352
0.47799999,1.4870663147,0.20712352
0.47899999,1.4827448349,0.20712352
0.47999999,1.5215766468,0.20712352
0.48099999,1.5043061018,0.20712352
0.48199999,1.5,0.20712352
0.48299999,1.5129336853,0.1898376
0.48399999,1.5,0.20712352
0.48499999,1.5043061018,0.20712352
0.48599999,1.44389764023,0.20712352
0.48699999,1.5,0.20712352
0.48799999,1.4827448349,0.20712352
0.48899999,1.5043061018,0.20712352
0.48999999,1.45254059982,0.20712352
0.49099999,1.46979576874,0.20712352
0.49199999,1.46547428894,0.20712352
0.49299999,1.46979576874,0.20712352
0.49399999,1.46116818619,0.20712352
0.49499999,1.46979576874,0.20712352
0.49599999,1.4827448349,0.20712352
0.49699999,1.46979576874,0.20712352
0.49799999,1.46979576874,0.20712352
0.49899999,1.46979576874,0.20712352
0.49999999,1.4956938982,0.20712352
0.50099999,1.49137241745,0.20712352
0.50199999,1.4784233532,0.20712352
0.50299999,1.4870663147,0.20712352
0.50399999,1.4956938982,0.20712352
0.50499999,1.5129336853,0.20712352
0.50599999,1.44821912384,0.20712352
0.50699999,1.50862758255,0.20712352
0.50799999,1.47411725044,0.20712352
0.50899999,1.50862758255,0.20712352
0.50999999,1.46116818619,0.20712352
0.51099999,1.4784233532,0.1898376
0.51199999,1.4784233532,0.20712352
0.51299999,1.46979576874,0.20712352
0.51399999,1.45254059982,0.20712352
0.51499999,1.46979576874,0.20712352
0.51599999,1.5172551651,0.20712352
0.51699999,1.4827448349,0.20712352
0.51799999,1.5172551651,0.20712352
0.51899999,1.4956938982,0.20712352
0.51999999,1.52588274956,0.20712352
0.52099999,1.5172551651,0.20712352
0.52199999,1.50862758255,0.20712352
0.52299999,1.53452571106,0.20712352
0.52399999,1.53452571106,0.20712352
0.52499999,1.53883181381,0.20712352
0.52599999,1.4956938982,0.20712352
0.52699999,1.53883181381,0.20712352
0.52799999,1.5172551651,0.20712352
0.52899999,1.53452571106,0.20712352
0.52999999,1.4956938982,0.20712352
0.53099999,1.50862758255,0.20712352
0.53199999,1.5215766468,0.20712352
0.53299999,1.5043061018,0.20712352
0.53399999,1.5043061018,0.20712352
0.53499999,1.5043061018,0.20712352
0.53599999,1.57767900085,0.20712352
0.53699999,1.5215766468,0.20712352
0.53799999,1.54315329361,0.20712352
0.53899999,1.52588274956,0.20712352
0.53999999,1.55610235977,0.20712352
0.54099999,1.55610235977,0.20712352
0.54199999,1.54315329361,0.20712352
0.54299999,1.56472994232,0.20712352
0.54399999,1.55178087616,0.20712352
0.54499999,1.54745940018,0.20712352
0.54599999,1.5043061018,0.20712352
0.54699999,1.55610235977,0.20712352
0.54799999,1.5215766468,0.20712352
0.54899999,1.53020423126,0.20712352
0.54999999,1.49137241745,0.20712352
0.55099999,1.5172551651,0.20712352
0.55199999,1.53020423126,0.20712352
0.55299999,1.47411725044,0.20712352
0.55399999,1.5043061018,0.20712352
0.55499999,1.5,0.20712352
0.55599999,1.54315329361,0.20712352
0.55699999,1.4870663147,0.20712352
0.55799999,1.5172551651,0.20712352
0.55899999,1.5,0.20712352
0.55999999,1.52588274956,0.20712352
0.56099999,1.5172551651,0.20712352
0.56199999,1.5129336853,0.20712352
0.56299999,1.53452571106,0.20712352
0.56399999,1.53020423126,0.20712352
0.56499999,1.5172551651,0.20712352
0.56599999,1.47411725044,0.20712352
0.56699999,1.5215766468,0.20712352
0.56799999,1.5,0.20712352
0.56899999,1.5129336853,0.20712352
0.56999999,1.4870663147,0.20712352
0.57099999,1.4870663147,0.20712352
0.57199999,1.5,0.20712352
0.57299999,1.4870663147,0.20712352
0.57399999,1.47411725044,0.20712352
0.57499999,1.4784233532,0.20712352
0.57599999,1.52588274956,0.20712352
0.57699999,1.49137241745,0.20712352
0.57799999,1.4956938982,0.20712352
0.57899999,1.4827448349,0.20712352
0.57999999,1.5172551651,0.20712352
0.58099999,1.50862758255,0.20712352
0.58199999,1.4827448349,0.1898376
0.58299999,1.5172551651,0.20712352
0.58399999,1.50862758255,0.20712352
0.58499999,1.5129336853,0.20712352
0.58599999,1.44821912384,0.20712352
0.58699999,1.4784233532,0.20712352
0.58799999,1.46547428894,0.20712352
0.58899999,1.4784233532,0.20712352
0.58999999,1.42664247131,0.20712352
0.59099999,1.44821912384,0.20712352
0.59199999,1.47411725044,0.20712352
0.59299999,1.43959153748,0.20712352
0.59399998,1.43959153748,0.20712352
0.59499998,1.44821912384,0.20712352
0.59599998,1.50862758255,0.20712352
0.59699998,1.44821912384,0.20712352
0.59799998,1.4827448349,0.20712352
0.59899998,1.45254059982,0.20712352
0.59999998,1.4870663147,0.20712352
0.60099998,1.47411725044,0.20712352
0.60199998,1.45254059982,0.20712352
0.60299998,1.47411725044,0.20712352
0.60399998,1.47411725044,0.20712352
0.60499998,1.47411725044,0.20712352
0.60599998,1.42664247131,0.20712352
0.60699998,1.49137241745,0.20712352
0.60799998,1.44821912384,0.20712352
0.60899998,1.47411725044,0.20712352
0.60999998,1.43527005768,0.20712352
0.61099998,1.46116818619,0.20712352
0.61199998,1.4827448349,0.20712352
0.61299998,1.43527005768,0.20712352
0.61399998,1.46547428894,0.20712352
0.61499998,1.4784233532,0.20712352
